                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.981,                 5.4915,                 4.2242,                  1e-05,                0.00385,                      0,                      0,                 4.8989,                 6.3278,                 4.1528,                 0.0025,                 0.0025,                 0.0025
                      2,                 4.4184,                 4.7863,                 3.8847,                  1e-05,                0.00385,                      0,                      0,                 4.8978,                 5.5963,                  4.175,               0.005095,               0.005095,               0.005095
                      3,                 3.4376,                 3.6546,                 3.0199,                  1e-05,                0.00385,                      0,                      0,                 5.0065,                 5.7515,                 4.3163,              0.0076848,              0.0076848,              0.0076848
                      4,                 2.8837,                 2.8946,                 2.4806,                0.75851,                0.14126,                0.16274,                0.06596,                 2.6027,                 5.8492,                  2.499,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.5032,                 2.4288,                 2.1567,                0.97297,                0.07848,                0.23751,                0.11206,                 2.0837,                 17.097,                 2.1484,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.2788,                 2.0693,                 1.9516,                0.51069,                0.39793,                0.41282,                0.19933,                 1.8751,                 8.4822,                 1.9155,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.1311,                 1.8593,                 1.8213,                0.64063,                0.47713,                0.55652,                 0.2493,                 1.8367,                 3.2499,                 1.8312,              0.0099505,              0.0099505,              0.0099505
                      8,                  2.031,                 1.7311,                  1.752,                0.76518,                0.63922,                0.70016,                0.31679,                 1.7271,                 2.7941,                 1.7397,              0.0099406,              0.0099406,              0.0099406
                      9,                   1.98,                 1.6314,                 1.6998,                0.74642,                0.58123,                 0.6636,                0.33276,                 1.7253,                 1.7829,                 1.7033,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.9158,                 1.5435,                 1.6553,                0.73684,                0.62158,                0.68815,                0.36287,                 1.6172,                 1.4155,                 1.6044,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.8659,                 1.4642,                 1.6108,                0.82019,                0.67395,                0.79042,                0.43597,                 1.5775,                 1.3206,                 1.5818,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.8211,                  1.414,                 1.5734,                 0.7993,                0.72348,                0.79868,                0.42031,                 1.5762,                 1.2774,                 1.5535,               0.009901,               0.009901,               0.009901
                     13,                  1.802,                  1.375,                 1.5644,                0.72877,                0.75233,                0.79778,                0.41409,                 1.6235,                 1.2168,                 1.6237,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.7638,                  1.337,                 1.5472,                0.73527,                0.65647,                0.73746,                0.38527,                  1.613,                 1.6451,                 1.5859,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.7538,                 1.2871,                 1.5312,                0.80055,                0.75092,                0.81781,                 0.4279,                 1.5473,                 1.2169,                 1.5638,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.7189,                 1.2566,                 1.5116,                0.80293,                0.75641,                0.82557,                0.45428,                 1.5182,                 1.0623,                   1.51,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.7096,                 1.2418,                  1.501,                0.84705,                0.69686,                0.81166,                0.43719,                 1.5462,                 1.1235,                 1.5327,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.6816,                 1.2184,                 1.4864,                0.82781,                0.76423,                0.83078,                 0.4678,                 1.4722,                 1.1058,                 1.5012,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.6776,                 1.1961,                 1.4766,                0.82801,                0.76831,                0.83646,                 0.4503,                 1.5081,                 1.2375,                 1.5043,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.6457,                 1.1616,                 1.4549,                0.86219,                0.75776,                0.85697,                0.48409,                 1.4631,                 1.0512,                  1.501,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.6363,                 1.1491,                 1.4512,                 0.8458,                 0.8107,                0.86623,                 0.4969,                 1.4727,                0.91397,                 1.4739,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.6414,                 1.1441,                 1.4599,                0.81322,                0.76956,                0.84507,                0.47829,                 1.4553,                0.95667,                 1.4735,               0.009802,               0.009802,               0.009802
                     23,                 1.6199,                 1.1141,                 1.4361,                0.80718,                0.80933,                0.85325,                0.48297,                 1.4478,                  1.013,                 1.4813,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.5964,                  1.101,                 1.4328,                0.81104,                0.80558,                0.86206,                0.49409,                 1.4426,                0.94875,                 1.4561,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.5948,                 1.0871,                 1.4308,                0.85053,                 0.7829,                  0.862,                 0.4927,                 1.4295,                0.96412,                 1.4635,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.5795,                 1.0788,                 1.4219,                0.87508,                0.81856,                0.89047,                0.48824,                 1.4706,                0.88998,                 1.4718,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.5634,                 1.0664,                 1.4065,                0.90543,                0.74508,                0.87869,                0.48936,                 1.4475,                 0.9634,                 1.4597,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.5687,                 1.0502,                 1.3988,                0.86112,                0.79353,                0.86408,                0.48477,                 1.4628,                0.94562,                 1.4572,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.5491,                 1.0328,                 1.3878,                0.90473,                0.81464,                0.89091,                0.50491,                 1.4357,                0.89152,                 1.4392,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.5506,                   1.04,                  1.398,                0.89774,                0.76323,                0.86748,                0.48876,                 1.4366,                 0.9867,                 1.4448,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.5271,                 1.0139,                 1.3841,                0.87999,                0.78691,                0.87417,                0.50604,                 1.4033,                0.92742,                  1.436,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.5172,                 1.0047,                 1.3765,                0.91574,                0.79236,                0.88424,                0.49781,                 1.4565,                 0.9337,                 1.4537,               0.009703,               0.009703,               0.009703
                     33,                 1.5151,                0.99708,                 1.3784,                0.86914,                0.85197,                0.90067,                0.53033,                 1.3756,                0.83114,                  1.427,              0.0096931,              0.0096931,              0.0096931
                     34,                  1.512,                0.98901,                 1.3711,                0.88777,                0.83274,                0.88903,                 0.5279,                 1.3715,                0.84744,                 1.4055,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4973,                0.97336,                 1.3641,                0.89992,                0.83126,                0.89853,                 0.5265,                 1.3854,                0.85573,                 1.4248,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.5009,                0.97156,                 1.3672,                0.86508,                0.84668,                0.89565,                0.52133,                 1.3567,                0.86845,                 1.4033,              0.0096634,              0.0096634,              0.0096634
